Rank,NCTId,BriefTitle,Condition,OverallStatus,LeadSponsorClass,LeadSponsorName,InterventionName,InterventionType,Keyword
95,NCT04328285,Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers,COVID-19,"Active, not recruiting",OTHER,Centre Hospitalier Universitaire de Saint Etienne,Hydroxychloroquine|Placebo of Hydroxychloroquine|Lopinavir and ritonavir|Placebo of LPV/r Tablets,Drug|Drug|Drug|Drug,SARS-CoV-2|COVID-19|nasopharyngeal swab|pneumonia|Hydroxychloroquine|Lopinavir/ritonavir|Healthcare Workers
96,NCT04326036,Use of cSVF Via IV Deployment for Residual Lung Damage After Symptomatic COVID-19 Infection,Pulmonary Alveolar Proteinosis|COPD|Idiopathic Pulmonary Fibrosis|Viral Pneumonia|Coronavirus Infection|Interstitial Lung Disease,Enrolling by invitation,INDUSTRY,Healeon Medical Inc,Microcannula Harvest Adipose Derived tissue stromal vascular fraction (tSVF)|Centricyte 1000|IV Deployment Of cSVF In Sterile Normal Saline IV Solution|Liberase Enzyme (Roche)|Sterile Normal Saline for Intravenous Use,Procedure|Device|Procedure|Drug|Drug,
97,NCT04364737,CONTAIN COVID-19: Convalescent Plasma to Limit COVID-19 Complications in Hospitalized Patients,COVID-19|Coronavirus|Coronavirus Infection,Recruiting,OTHER,NYU Langone Health,Convalescent Plasma|Saline solution,Biological|Other,
98,NCT04408456,Efficacy of Hydroxychloroquine (HCQ) as Post Exposure Prophylaxis (PEP) for Prevention of COVID-19,CoVID-19,Completed,OTHER_GOV,Postgraduate Institute of Medical Education and Research,HCQ|Standard therapy,Drug|Other,CoVID-19|SARS-CoV-2|Hydroxychloroquine (HCQ)|post exposure prophylaxis (PEP)
99,NCT04357808,Efficacy of Subcutaneous Sarilumab in Hospitalised Patients With Moderate-severe COVID-19 Infection (SARCOVID),Covid-19,Recruiting,OTHER,Maria del Rosario Garcia de Vicuña Pinedo,Sarilumab|Standar of care,Drug|Other,COVID|SARS-CoV-2|coronavirus infections|sarilumab|IL-6 receptor inhibitors
101,NCT04464395,Study of CPI-006 as Immunotherapy for Hospitalized COVID-19 Patients,COVID-19,Recruiting,INDUSTRY,"Corvus Pharmaceuticals, Inc.",CPI-006,Drug,SARS CoV-2|Coronavirus|Covid
106,NCT04482595,BIO 300 Oral Suspension in Discharged COVID-19 Patients,Pulmonary Fibrosis,Not yet recruiting,INDUSTRY,Humanetics Corporation,BIO 300 Oral Suspension|Placebo,Drug|Drug,
107,NCT04516941,CorONa Virus edoxabaN ColchicinE (CONVINCE) COVID-19,SARS-CoV Infection|COVID-19,Not yet recruiting,OTHER,"University Hospital Inselspital, Berne",Edoxaban Tablets|Colchicine Tablets,Drug|Drug,
108,NCT04418518,A Trial of CONvalescent Plasma for Hospitalized Adults With Acute COVID-19 Respiratory Illness,COVID-19,Recruiting,OTHER,Weill Medical College of Cornell University,Convalescent plasma,Biological,Convalescent plasma|Transfusion|SARS-CoV-2|Passive immunization
109,NCT04410536,Home Detox in Medication Overuse Headache (MOH) During Covid-19 Emergency,"Migraine, Hemicrania",Not yet recruiting,OTHER,Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta,Symptomatic drugs|Bridge therapy|Mindfulness program,Drug|Drug|Behavioral,
111,NCT04330300,Coronavirus (COVID-19) ACEi/ARB Investigation,Hypertension|COVID-19,Suspended,OTHER,"National University of Ireland, Galway, Ireland",Thiazide or Thiazide-like diuretics|Calcium Channel Blockers|ACE inhibitor|Angiotensin receptor blocker,Drug|Drug|Drug|Drug,Hypertension|Blood Pressure|COVID-19|Coronavirus Disease 2019|Novel Coronavirus|Coronavirus|Cardiovascular Diseases|Pandemic|Critical Care|Intubation|Noninvasive Ventilation|Angiotensin Converting Enzyme|Angiotensin Converting Enzyme 2|Renin-Angiotensin System|Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors|Angiotensin Receptor Antagonists|Calcium Channel Blockers|Diuretics|ACE-2
113,NCT04326426,ODYSSEY: A Study to Investigate the Efficacy of Tradipitant in Treating Severe or Critical COVID-19 Infection,Coronavirus Infection,Enrolling by invitation,INDUSTRY,Vanda Pharmaceuticals,Tradipitant|Placebo,Drug|Drug,
117,NCT04357730,Fibrinolytic Therapy to Treat ARDS in the Setting of COVID-19 Infection,Severe Acute Respiratory Syndrome|Respiratory Failure|Acute Respiratory Distress Syndrome,Recruiting,OTHER,Denver Health and Hospital Authority,Alteplase 50 MG [Activase]|Alteplase 100 MG [Activase],Drug|Drug,COVID-19|ARDS|SARS-CoV-2|Betacoronavirus
118,NCT04336748,HCQ for Primary Prophylaxis Against COVID19 in Health-care Workers,Sars-CoV2|Infection Viral|Healthcare Worker|Prophylaxis,Not yet recruiting,OTHER,Medical University of Vienna,Hydroxychloroquine,Drug,
120,NCT04363827,Protect: Study With Hydroxychloroquine for Prevention and Early Phase Treatment of Coronavirus Disease (COVID-19),COVID19|Hydroxychloroquine|Prophylaxis|Treatment|SARS-CoV-2,Recruiting,OTHER,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,Hydroxychloroquine,Drug,COVID19|Households|Hydroxychloroquine|prophylaxis|early phase treatment|prevention|asymptomatic|paucisymptomatic|home situation|SARS-CoV-2-exposed subjects
123,NCT04346589,Convalescent Antibodies Infusion in Critically Ill COVID 19 Patients,"Pneumonia, Ventilator-Associated|Coronavirus Infection",Recruiting,OTHER,A.O. Ospedale Papa Giovanni XXIII,Anti-coronavirus antibodies (immunoglobulins)obtained with DFPP from convalescent patients,Biological,Pneumonia COVID 19 ventilator-dependent|COVID19|Double-filtration plasmapheresis|Convalescent antibodies
125,NCT04148430,A Study of Anakinra to Prevent or Treat Severe Side Effects for Patients Receiving CAR-T Cell Therapy,B Cell ALL|B-Cell Lymphoma|B-cell Non Hodgkin Lymphoma,Recruiting,OTHER,Memorial Sloan Kettering Cancer Center,Anakinra,Drug,
129,NCT04292899,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),COVID-19,Completed,INDUSTRY,Gilead Sciences,Remdesivir|Standard of Care,Drug|Drug,
139,NCT04323761,Expanded Access Treatment Protocol: Remdesivir (RDV; GS-5734) for the Treatment of SARS-CoV2 (CoV) Infection (COVID-19),SARS-CoV2 Infection,Available,INDUSTRY,Gilead Sciences,Remdesivir,Drug,
142,NCT04366960,Comparison of Two Doses of Enoxaparin for Thromboprophylaxis in Hospitalized COVID-19 Patients,Covid19,Recruiting,OTHER,Niguarda Hospital,Enoxaparin,Drug,COVID19
151,NCT04438629,Evaluation of Immune Response in COVID-19 Patients,Allergy and Immunology|Infection Viral,Recruiting,OTHER,Azienda Ospedaliera Universitaria Integrata Verona,COVID-19 treatment,Drug,COVID-19|IMMUNE SYSTEM|INNATE IMMUNITY|ADAPTIVE IMMUNITY
152,NCT04359212,Increased Risk of VTE and Higher Hypercoagulability in Patients Recovered in ICU and in Medical Ward for COVID-19,"COVID-19 Disease|Thromboembolism, Venous",Completed,OTHER,Quovadis Associazione,thromboprophylaxis with low-molecular-weight heparin or fondaparinux,Drug,"COVID-19 pandemic|Thromboembolism, Venous|Deep Venous Thrombosis|Pulmonary Thrombosis"
153,NCT04354389,DAS181 for STOP COVID-19,COVID-19,Withdrawn,INDUSTRY,"Ansun Biopharma, Inc.",DAS181|Placebo|DAS181,Drug|Drug|Drug,COVID-19|Lower Respiratory Tract Disease|DAS181|SARS-CoV-2|Coronavirus|Hypoxemia|Ansun
168,NCT04408235,High Versus Low LMWH Dosages in Hospitalized Patients With Severe COVID-19 Pneumonia and Coagulopathy,"COVID|Pneumonia, Viral|Coagulation Disorder",Not yet recruiting,OTHER,Azienda Ospedaliero-Universitaria di Modena,Enoxaparin,Drug,COVID-19|PNEUMONIA|COAGULOPATHY|LOW-MOLECULAR WEIGHT HEPARIN|ENOXAPARIN
171,NCT04352400,Efficacy of Nafamostat in Covid-19 Patients (RACONA Study),COVID19,Not yet recruiting,OTHER,University Hospital Padova,Nafamostat Mesilate|Placebo,Drug|Drug,Nafamostat|proteases|TMPRSS2|covid-19|coronavirus
174,NCT04336904,Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19,COVID-19,"Active, not recruiting",OTHER,Giuliano Rizzardini,Favipiravir|Placebo,Drug|Other,COVID-19
182,NCT04528641,GRAd-COV2 Vaccine Against COVID-19,COVID-19,Recruiting,INDUSTRY,ReiThera Srl,GRAd-COV2,Biological,
184,NCT04569188,Convalescent Plasma in COVID-19 Elderly Patients,COVID-19,Completed,OTHER,Azienda Socio Sanitaria Territoriale di Mantova,Convalescent plasma,Biological,
186,NCT04375202,Colchicine in COVID-19: a Pilot Study,COVID-19,Recruiting,OTHER,University Of Perugia,Colchicine 1 MG Oral Tablet,Drug,COVID|COVID-19|CORONAVIRUS|SARS-COV-2|COLCHICINE|IL-1
187,NCT04449380,Clinical Study for the Treatment With Interferon-ß-1a (IFNß-1a) of COVID-19 Patients,COVID-19 Virus Infection,Not yet recruiting,OTHER,IRCCS San Raffaele,Interferon-ß-1a|Standard of Care (SOC),Drug|Combination Product,
188,NCT04358614,Baricitinib Therapy in COVID-19,COVID|Pneumonia,Completed,OTHER,Fabrizio Cantini,Baricitinib 4 MG Oral Tablet,Drug,COVID-19|BARICITINIB|MODERATE DISEASE
196,NCT04389567,Famotidine Outpatient COVID-19 Treatment Study,COVID-19,Completed,OTHER,Northwell Health,Famotidine,Drug,Famotidine
197,NCT04475120,Efficacy and Safety of Liposomal Lactoferrin in COVID-19 Patients With Mild-to-Moderate Disease and in COVID-19 Asymptomatic Patients,Covid19,Completed,OTHER,University of Rome Tor Vergata,liposomal lactoferrin,Drug,
198,NCT04445623,Prasugrel in Severe COVID-19 Pneumonia,COVID19|Thrombosis,Not yet recruiting,OTHER,Azienda Ospedaliera Universitaria Integrata Verona,Prasugrel Hydrochloride 10 MG Oral Tablet|Placebo,Drug|Drug,
205,NCT04322565,Colchicine Counteracting Inflammation in COVID-19 Pneumonia,"Coronavirus Infections|Pneumonia, Viral",Recruiting,OTHER,Azienda Ospedaliero-Universitaria di Parma,Colchicine,Drug,Colchicine|Corona Virus Infection|COVID-19
206,NCT04365517,The Effect of Sitagliptin Treatment in COVID-19 Positive Diabetic Patients,"Covid19|Diabetes Mellitus, Type 2|CKD",Not yet recruiting,OTHER,University of Milan,Sitagliptin,Drug,
207,NCT04542200,Workforce Serosurveillance to Track Long-term Modifications to COVID-19 Exposure Due to Factors in the Built Environment,Covid19,Enrolling by invitation,OTHER,Northwell Health,Antibody testing,Biological,
210,NCT04344535,Convalescent Plasma vs. Standard Plasma for COVID-19,COVID,Enrolling by invitation,OTHER,Stony Brook University,Convalescent Plasma|Standard Donor Plasma,Biological|Biological,
214,NCT04393051,Baricitinib Compared to Standard Therapy in Patients With COVID-19,Covid-19|SARS-CoV 2|SARS Pneumonia,Not yet recruiting,OTHER,"Azienda Ospedaliero, Universitaria Pisana",Baricitinib Oral Tablet,Drug,baricitinib|invasive ventilation|safety|pneumonia|SARS-CoV2|Covid-19
215,NCT04323592,Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,"Severe Acute Respiratory Syndrome (SARS) Pneumonia|Coronavirus Infections|ARDS, Human",Completed,OTHER,University of Trieste,Methylprednisolone|standard care,Drug|Other,"SARS-CoV-2,|SARS|ARDS|Methylprednisolone"
216,NCT04359329,Estrogen Patch for COVID-19 Symptoms,COVID,Recruiting,OTHER,Sharon Nachman,Estradiol patch,Drug,
218,NCT04393727,Transfusion of Convalescent Plasma for the Early Treatment of Patients With COVID-19,COVID|SARS-CoV 2,Recruiting,OTHER,"Azienda Ospedaliero, Universitaria Pisana",CONVALESCENT PLASMA,Biological,covid-19|SARS-CoV2|pneumonia|convalescent plasma
220,NCT04387786,Dornase Alfa Administered to Patients With COVID-19 (DACOVID),COVID-19|Mechanical Ventilation,"Active, not recruiting",OTHER,Feinstein Institute for Medical Research,Dornase Alfa,Drug,
222,NCT04461353,"A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Orally Inhaled Aerosolized Hydroxychloroquine Sulfate in Healthy Adult Volunteers",Severe Acute Respiratory Syndrome Coronavirus 2,"Active, not recruiting",INDUSTRY,"Pulmoquine Therapeutics, Inc",Aerolized Hydroxychloroquine Sulfate|Placebo,Drug|Other,coronavirus|COVID-19|Hydroxychloroquine Sulfate|Hydroxychloroquine
224,NCT04374526,Early transfusIon of Convalescent Plasma in Elderly COVID-19 Patients. to Prevent Disease Progression.,Coronavirus Disease 2019 )COVID-19),Recruiting,OTHER,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,COVID-19 Convalescent Plasma,Biological,
225,NCT04377711,A Study of the Safety and Efficacy of Ciclesonide in the Treatment of Non-hospitalized COVID-19 Patients,COVID-19,Recruiting,INDUSTRY,Covis Pharma S.à.r.l.,Ciclesonide|Placebo,Drug|Drug,
226,NCT04328012,COVID MED Trial - Comparison Of Therapeutics for Hospitalized Patients Infected With SARS-CoV-2,SARS-CoV-2 Infection,Recruiting,OTHER,Bassett Healthcare,lopinavir/ritonavir|Losartan|Placebos,Drug|Drug|Drug,COVID|COVID 19|coronavirus|hydroxychloroquine
229,NCT04348656,CONvalescent Plasma for Hospitalized Adults With COVID-19 Respiratory Illness (CONCOR-1),COVID-19,Recruiting,OTHER,Hamilton Health Sciences Corporation,Convalescent plasma,Biological,Convalescent plasma|Transfusion|SARS-CoV-2|Passive immunization
230,NCT04346277,Compassionate Use Open-Label Anti-CD14 Treatment in Patients With SARS-CoV-2 (COVID-19),"COVID|ARDS, Human|Ards|SARS-CoV2",Available,INDUSTRY,Implicit Bioscience,"IC14, a monoclonal antibody against CD14",Biological,coronavirus|acute lung injury
231,NCT04292730,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,COVID-19,Completed,INDUSTRY,Gilead Sciences,Remdesivir|Standard of Care,Drug|Drug,
237,NCT04350450,Hydroxychloroquine Treatment of Healthcare Workers With COVID19 Illness at Montefiore,COVID|Coronavirus|COVID-19,Withdrawn,OTHER,Montefiore Medical Center,Hydroxychloroquine,Drug,
238,NCT04322344,Escin in Patients With Covid-19 Infection,Coronavirus Infections,Recruiting,OTHER,University of Catanzaro,Escin|standard therapy,Drug|Drug,
240,NCT04368377,Enhanced Platelet Inhibition in Critically Ill Patients With COVID-19,"Pneumonia, Viral|Corona Virus Infection|Respiratory Failure|Embolism and Thrombosis",Completed,OTHER,University of Milan,Tirofiban Injection|Clopidogrel|Acetylsalicylic acid|Fondaparinux,Drug|Drug|Drug|Drug,Covid-19|Pneumonia|Respiratory failure|Platelet inhibition|GP IIb/IIIa inhibitor|Thrombosis|Platelet disfunction
241,NCT04370262,Multi-site Adaptive Trials for COVID-19,COVID-19,Recruiting,OTHER,Northwell Health,SOC + Intravenous Famotidine|SOC + Placebo,Drug|Drug,COVID-19|Coronavirus|Famotidine
244,NCT04363437,COlchicine in Moderate-severe Hospitalized Patients Before ARDS to Treat COVID-19,Coronavirus Infection,Recruiting,OTHER,Maimonides Medical Center,Colchicine|Usual Care,Drug|Drug,colchicine|anti-inflammatory
245,NCT04399798,Baricitinib for coRona Virus pnEumonia (COVID-19): a THerapeutic Trial,Corona Virus Infection,Not yet recruiting,OTHER,IRCCS Policlinico S. Matteo,Baricitinib,Drug,
247,NCT04505722,A Study of Ad26.COV2.S for the Prevention of SARS-CoV-2-Mediated COVID-19 in Adult Participants,Healthy,Recruiting,INDUSTRY,Janssen Vaccines & Prevention B.V.,Ad26.COV2.S|Placebo,Biological|Other,Prevention|Vaccine
249,NCT04385043,Hyperimmune Plasma in Patients With COVID-19 Severe Infection,COVID-19,Recruiting,OTHER,University of Catanzaro,plasma hyperimmune|standard therapy,Other|Drug,severe Covid-19|severe coronavirus-2|plasma hyperimmune|convalescent plasma
251,NCT04315480,Tocilizumab for SARS-CoV2 (COVID-19) Severe Pneumonitis,SARS Pneumonia,"Active, not recruiting",OTHER,Università Politecnica delle Marche,Tocilizumab,Drug,Tocilizumab
253,NCT04332042,TOFAcitinib in SARS-CoV2 Pneumonia,SARS-COv2 Related Interstitial Pneumonia,Not yet recruiting,OTHER,Università Politecnica delle Marche,Tofacitinib,Drug,
254,NCT04386447,Phase II RCT to Assess Efficacy of Intravenous Administration of Oxytocin in Patients Affected by COVID-19,Covid-19|Corona Virus Infection|SARS-CoV 2,Not yet recruiting,OTHER,Azienda Ospedaliero-Universitaria di Parma,Oxytocin|Standard of Care,Drug|Drug,Covid-19|Oxytocin|Corona Virus Infection
255,NCT04397497,Mavrilimumab in Severe COVID-19 Pneumonia and Hyper-inflammation (COMBAT-19),"Covid-19|Acute Respiratory Failure|ARDS, Human|Sars-CoV2|Viral Pneumonia",Not yet recruiting,OTHER,Ospedale San Raffaele,Mavrilimumab|Placebo,Drug|Drug,covid-19|Acute respiratory failure|mavrilimumab|GM-CSF|GM-CSF receptor alpha|SARS-CoV2|viral pneumonia
256,NCT04404192,PH94B in the Treatment of Adjustment Disorder With Anxiety,Adjustment Disorder With Anxious Mood,Not yet recruiting,INDUSTRY,"VistaGen Therapeutics, Inc.",PH94B,Drug,
257,NCT04362137,"Phase 3 Randomized, Double-blind, Placebo-controlled Multi-center Study to Assess the Efficacy and Safety of Ruxolitinib in Patients With COVID-19 Associated Cytokine Storm (RUXCOVID)",Cytokine Storm (Covid-19),Recruiting,INDUSTRY,Novartis Pharmaceuticals,Ruxolitinib|Placebo,Drug|Drug,COVID-19 pneumonia|cytokine release syndrome|SARS-COV-2|ruxolitinib
